retail_order_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,postal_code,country,city,state,region,latitude,longitude,retail_sales_people,product_id,product_name,sub_category,category,returned,sales,quantity,discount,profit,cost,unit_cp,unit_sp,days,sla_days,on_time,margin,margin_rate,return_flag,sales_outlier,quantity_outlier,margin_rate_outlier,days_outlier
1,CA-2016-152156,2016-08-11,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,42420,United States,Henderson,Kentucky,South,37.839333,-84.270018,Cassandra Brandow,FUR-BO-10001798,Bush Somerset Collection Bookcase,Bookcases,Furniture,Not,261.96,2.0,0.0,41.9136,220.046399999999,110.023199999999,130.98,92,7.0,0,41.91360000000097,0.16000000000000372,0,0,0,0,0
2,CA-2016-152156,2016-08-11,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,42420,United States,Henderson,Kentucky,South,37.839333,-84.270018,Cassandra Brandow,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs,Furniture,Not,731.94,3.0,0.0,219.582,512.358,170.786,243.98,92,7.0,0,219.5820000000001,0.3000000000000001,0,1,0,0,0
3,CA-2016-138688,2016-12-06,2016-12-06,Second Class,DV-13045,Darrin Van Huff,Corporate,90036,United States,Los Angeles,California,West,36.778261,-119.417932,Anna Andreadi,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Labels,Office Supplies,Not,14.62,2.0,0.0,6.8714,7.74859999999999,3.87429999999999,7.31,0,7.0,1,6.871400000000009,0.47000000000000064,0,0,0,0,0
4,US-2015-108966,2015-11-10,2015-11-10,Standard Class,SO-20335,Sean O'Donnell,Consumer,33311,United States,Fort Lauderdale,Florida,South,27.664827,-81.515754,Cassandra Brandow,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Tables,Furniture,Not,957.5775,5.0,0.45,-383.031,1340.6085,268.1217,191.5155,0,7.0,1,-383.03100000000006,-0.4000000000000001,0,1,0,1,0
5,US-2015-108966,2015-11-10,2015-11-10,Standard Class,SO-20335,Sean O'Donnell,Consumer,33311,United States,Fort Lauderdale,Florida,South,27.664827,-81.515754,Cassandra Brandow,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Storage,Office Supplies,Not,22.368,2.0,0.2,2.5164,19.8515999999999,9.92579999999999,11.184,0,7.0,1,2.516400000000097,0.11250000000000433,0,0,0,0,0
6,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,36.778261,-119.417932,Anna Andreadi,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furnishings,Furniture,Not,48.86,7.0,0.0,14.1694,34.6906,4.9558,6.97999999999999,0,7.0,1,14.169399999999996,0.2899999999999999,0,0,0,0,0
7,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,36.778261,-119.417932,Anna Andreadi,OFF-AR-10002833,Newell 322,Art,Office Supplies,Not,7.28,4.0,0.0,1.9656,5.3144,1.3286,1.82,0,7.0,1,1.9656000000000002,0.27,0,0,0,0,0
8,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,36.778261,-119.417932,Anna Andreadi,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Phones,Technology,Not,907.152,6.0,0.2,90.7152,816.4368,136.0728,151.192,0,7.0,1,90.7152000000001,0.1000000000000001,0,1,0,0,0
9,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,36.778261,-119.417932,Anna Andreadi,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Binders,Office Supplies,Not,18.504,3.0,0.2,5.7825,12.7215,4.2405,6.168,0,7.0,1,5.782500000000001,0.3125,0,0,0,0,0
10,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,90032,United States,Los Angeles,California,West,36.778261,-119.417932,Anna Andreadi,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Appliances,Office Supplies,Not,114.9,5.0,0.0,34.47,80.43,16.086,22.98,0,7.0,1,34.47,0.3,0,0,0,0,0
